stabbr,variable,measure,base,reform,change,valgroup,valnum,vlabs
AK,iitax,avgval,14522.460927801994,14462.702396687022,59.75853111497236,"[-Inf,200)",1,< $200
AL,iitax,avgval,13741.988162933922,13522.684524092532,219.30363884138933,"[200,500)",2,$200 < $500
AR,iitax,avgval,15735.48693489071,15371.687076010967,363.7998588797436,"[200,500)",2,$200 < $500
AZ,iitax,avgval,16262.829259147175,15940.541647494905,322.28761165226933,"[200,500)",2,$200 < $500
CA,iitax,avgval,26130.703438183213,24976.891261492692,1153.8121766905206,"[1e+03, Inf)",4,">= $1,000"
CO,iitax,avgval,19329.775985931148,18864.71679268615,465.059193244997,"[200,500)",2,$200 < $500
CT,iitax,avgval,30786.182206467853,29491.240871959133,1294.9413345087196,"[1e+03, Inf)",4,">= $1,000"
DE,iitax,avgval,14982.071741270984,14538.507191360217,443.5645499107668,"[200,500)",2,$200 < $500
FL,iitax,avgval,24457.369605694083,24172.908679524815,284.4609261692676,"[200,500)",2,$200 < $500
GA,iitax,avgval,18132.06004261117,17552.648147238688,579.4118953724828,"[500,1e+03)",3,"$500 < $1,000"
HI,iitax,avgval,14231.452604406228,13825.362487318684,406.09011708754406,"[200,500)",2,$200 < $500
IA,iitax,avgval,12614.188554603066,12154.506956932351,459.68159767071484,"[200,500)",2,$200 < $500
ID,iitax,avgval,13480.607726255197,13055.666832413379,424.94089384181825,"[200,500)",2,$200 < $500
IL,iitax,avgval,20008.747144121637,19267.9395535738,740.8075905478363,"[500,1e+03)",3,"$500 < $1,000"
IN,iitax,avgval,12852.332966890726,12543.28734171052,309.0456251802061,"[200,500)",2,$200 < $500
KS,iitax,avgval,14653.256280225725,14243.851728473473,409.4045517522518,"[200,500)",2,$200 < $500
KY,iitax,avgval,12184.192403365281,11746.102050828398,438.0903525368831,"[200,500)",2,$200 < $500
LA,iitax,avgval,14964.033768489047,14688.90378952975,275.12997895929766,"[200,500)",2,$200 < $500
MA,iitax,avgval,26692.232739954856,25695.986028742715,996.2467112121412,"[500,1e+03)",3,"$500 < $1,000"
MD,iitax,avgval,19091.927706019174,18142.756036467516,949.1716695516589,"[500,1e+03)",3,"$500 < $1,000"
ME,iitax,avgval,11942.410582990211,11450.771033348043,491.6395496421683,"[200,500)",2,$200 < $500
MI,iitax,avgval,15083.914849537621,14664.393531632204,419.52131790541716,"[200,500)",2,$200 < $500
MN,iitax,avgval,16812.333071089884,16107.108856264382,705.2242148255027,"[500,1e+03)",3,"$500 < $1,000"
MO,iitax,avgval,14220.541172726742,13792.768858745398,427.77231398134427,"[200,500)",2,$200 < $500
MS,iitax,avgval,11100.444378035798,10868.040917765504,232.4034602702941,"[200,500)",2,$200 < $500
MT,iitax,avgval,13253.157421180766,12858.015883672706,395.1415375080596,"[200,500)",2,$200 < $500
NC,iitax,avgval,15509.41108686122,15019.866888715253,489.54419814596804,"[200,500)",2,$200 < $500
ND,iitax,avgval,14318.582567424706,14173.86295706034,144.7196103643655,"[-Inf,200)",1,< $200
NE,iitax,avgval,13604.524472214718,13093.670367053863,510.8541051608554,"[500,1e+03)",3,"$500 < $1,000"
NH,iitax,avgval,17889.807819049925,17516.06499155293,373.74282749699705,"[200,500)",2,$200 < $500
NJ,iitax,avgval,25156.425025192762,23855.047626345786,1301.3773988469766,"[1e+03, Inf)",4,">= $1,000"
NM,iitax,avgval,12279.637024295955,12057.153125688412,222.48389860754287,"[200,500)",2,$200 < $500
NV,iitax,avgval,19684.540422614722,19499.280956502673,185.25946611204927,"[-Inf,200)",1,< $200
NY,iitax,avgval,29271.58764180889,28098.374198646183,1173.2134431627055,"[1e+03, Inf)",4,">= $1,000"
OH,iitax,avgval,13295.033151740214,12845.207414662113,449.82573707810116,"[200,500)",2,$200 < $500
OK,iitax,avgval,14529.165722866563,14227.318946920297,301.84677594626555,"[200,500)",2,$200 < $500
OR,iitax,avgval,15783.954883800388,15053.440895770043,730.513988030345,"[500,1e+03)",3,"$500 < $1,000"
PA,iitax,avgval,16504.087961241024,15972.590331736004,531.4976295050201,"[500,1e+03)",3,"$500 < $1,000"
RI,iitax,avgval,15452.414121508531,14823.168788213745,629.2453332947862,"[500,1e+03)",3,"$500 < $1,000"
SC,iitax,avgval,14024.14806122584,13602.204580022444,421.943481203396,"[200,500)",2,$200 < $500
SD,iitax,avgval,13888.95198977202,13765.460685767284,123.49130400473587,"[-Inf,200)",1,< $200
TN,iitax,avgval,15398.678209601809,15271.55167829525,127.12653130655781,"[-Inf,200)",1,< $200
TX,iitax,avgval,21395.346325327526,21072.80077650692,322.5455488206062,"[200,500)",2,$200 < $500
UT,iitax,avgval,15712.732335495726,15288.159982797422,424.5723526983038,"[200,500)",2,$200 < $500
VA,iitax,avgval,19418.404173346215,18696.09758276959,722.3065905766234,"[500,1e+03)",3,"$500 < $1,000"
VT,iitax,avgval,12934.338307716183,12411.385500090331,522.9528076258521,"[500,1e+03)",3,"$500 < $1,000"
WA,iitax,avgval,20824.70244663584,20567.35849628484,257.3439503510017,"[200,500)",2,$200 < $500
WI,iitax,avgval,13594.444048152558,13067.837998906976,526.6060492455817,"[500,1e+03)",3,"$500 < $1,000"
WV,iitax,avgval,10215.018720648446,9946.138110577718,268.8806100707279,"[200,500)",2,$200 < $500
WY,iitax,avgval,21836.680673174254,21694.49572952151,142.18494365274455,"[-Inf,200)",1,< $200
