stabbr,change,median
AK,0.012792442074979782,0.40895381883604864
AL,0.21736960546429349,0.40895381883604864
AR,0.20967920714125537,0.40895381883604864
AZ,0.5198977552108612,0.40895381883604864
CA,12.14371268411438,0.40895381883604864
CO,0.7688742534207039,0.40895381883604864
CT,1.458998114395813,0.40895381883604864
DE,0.12105239893093014,0.40895381883604864
FL,1.4795085217392732,0.40895381883604864
GA,1.32655555714431,0.40895381883604864
HI,0.1684407651884985,0.40895381883604864
IA,0.3911542287363148,0.40895381883604864
ID,0.16405951589659262,0.40895381883604864
IL,2.6471813977692262,0.40895381883604864
IN,0.5148698968425847,0.40895381883604864
KS,0.3005430798583298,0.40895381883604864
KY,0.42675340893578245,0.40895381883604864
LA,0.26583797266893006,0.40895381883604864
MA,2.2690533337138366,0.40895381883604864
MD,1.7838547097770385,0.40895381883604864
ME,0.1816163393302803,0.40895381883604864
MI,1.100260135128418,0.40895381883604864
MN,1.2189384654062385,0.40895381883604864
MO,0.6398675760988712,0.40895381883604864
MS,0.12628345871608734,0.40895381883604864
MT,0.10783549053320432,0.40895381883604864
NC,1.1514685541650695,0.40895381883604864
ND,0.03228097718738938,0.40895381883604864
NE,0.2627363649513955,0.40895381883604864
NH,0.1701505453043823,0.40895381883604864
NJ,3.6219230637823716,0.40895381883604864
NM,0.10160405315411807,0.40895381883604864
NV,0.14162883389093017,0.40895381883604864
NY,6.684030855075134,0.40895381883604864
OH,1.385470263601307,0.40895381883604864
OK,0.24524127732386874,0.40895381883604864
OR,0.8263785059596882,0.40895381883604864
PA,1.933679688022049,0.40895381883604864
RI,0.20352236409167482,0.40895381883604864
SC,0.4760946804128466,0.40895381883604864
SD,0.02906465070570755,0.40895381883604864
TN,0.19342419479980089,0.40895381883604864
TX,2.105430521902435,0.40895381883604864
UT,0.30311100448822215,0.40895381883604864
VA,1.726268281994339,0.40895381883604864
VT,0.10120416258129693,0.40895381883604864
WA,0.5808192816989441,0.40895381883604864
WI,0.8987113215722294,0.40895381883604864
WV,0.10189350615249396,0.40895381883604864
WY,0.022198031794706346,0.40895381883604864
