stubnum,stub,wtdsum_base,wtdsum_reform,wtdsum_change,change_share
0,Total,1266706821903.9243,1212377642603.4888,-54329179300.43555,1
1,Under $1,-8065450410.37552,-8065450410.37552,0,-0
2,$1 to < $25k,-191118594395.95258,-191131752153.8514,-13157757.898834229,2.4218583951126876e-4
3,$25k < 50k,-119673212441.23816,-119788186685.9884,-114974244.75024414,0.0021162521913766956
4,$50k < 75k,9825789044.400467,9387601456.160683,-438187588.23978424,0.00806541887586127
5,$75k < $100k,53969633215.27707,53059318510.060455,-910314705.2166138,0.016755539416169977
6,$100k < $200k,300095475480.36926,292173297734.28815,-7922177746.081116,0.14581810084544394
7,$200k < $500k,400379248531.2791,378709933706.038,-21669314825.24109,0.3988522393355456
8,$500k < $1m,202858055287.2328,189609282648.3754,-13248772638.857391,0.24386108550605656
9,$1m+,618435877592.9319,608423597798.7816,-10012279794.150269,0.1842891779900309
