stabbr,change,median
AK,0.013542804688685893,0.547453300816316
AL,0.3095583236443367,0.547453300816316
AR,0.32419387737970445,0.547453300816316
AZ,0.8290181806038532,0.547453300816316
CA,22.949439343165345,0.547453300816316
CO,1.1930314676910858,0.547453300816316
CT,2.8403615665112074,0.547453300816316
DE,0.17223290841023922,0.547453300816316
FL,2.715005992392212,0.547453300816316
GA,1.9985871571964797,0.547453300816316
HI,0.24681875795181082,0.547453300816316
IA,0.5180100114022255,0.547453300816316
ID,0.2564985068316088,0.547453300816316
IL,3.836195496072647,0.547453300816316
IN,0.7598156767274818,0.547453300816316
KS,0.42771006994041155,0.547453300816316
KY,0.5768965902304067,0.547453300816316
LA,0.38219017043096254,0.547453300816316
MA,3.765299729034859,0.547453300816316
MD,2.471573408563301,0.547453300816316
ME,0.23644937429237414,0.547453300816316
MI,1.5670720557659683,0.547453300816316
MN,1.9137776025141295,0.547453300816316
MO,0.989377422764,0.547453300816316
MS,0.16771465195147228,0.547453300816316
MT,0.16001969394843746,0.547453300816316
NC,1.6282841672003936,0.547453300816316
ND,0.04702436405721903,0.547453300816316
NE,0.35591776095721867,0.547453300816316
NH,0.22119394164004802,0.547453300816316
NJ,5.781386362090042,0.547453300816316
NM,0.14030174016457986,0.547453300816316
NV,0.2990838648844795,0.547453300816316
NY,15.293667720558869,0.547453300816316
OH,1.8416875882334633,0.547453300816316
OK,0.3471117526437836,0.547453300816316
OR,1.1491223281959113,0.547453300816316
PA,2.6388390861325455,0.547453300816316
RI,0.2872317923227272,0.547453300816316
SC,0.6443174237278871,0.547453300816316
SD,0.042111680378998755,0.547453300816316
TN,0.2886255057179432,0.547453300816316
TX,2.577302304188324,0.547453300816316
UT,0.48956069904049015,0.547453300816316
VA,2.398849317550888,0.547453300816316
VT,0.13173541056239796,0.547453300816316
WA,0.7147565749453354,0.547453300816316
WI,1.275686101867792,0.547453300816316
WV,0.13303936173612785,0.547453300816316
WY,0.060960819360838414,0.547453300816316
