stabbr,variable,measure,base,reform,change,us_change
AK,iitax,wtdsum,2323619972.8408585,2310656580.251356,-12963392.589502335,-55874634449.88818
AL,iitax,wtdsum,6439665110.680139,6215193248.79139,-224471861.88874817,-55874634449.88818
AR,iitax,wtdsum,4637982042.318436,4422216486.61376,-215765555.70467567,-55874634449.88818
AZ,iitax,wtdsum,17210336696.373505,16672623078.769548,-537713617.6039562,-55874634449.88818
CA,iitax,wtdsum,225674193219.80328,213180339486.68655,-12493853733.11673,-55874634449.88818
CO,iitax,wtdsum,25617418418.314903,24823468404.255974,-793950014.0589294,-55874634449.88818
CT,iitax,wtdsum,30593556131.430492,29086718884.2289,-1506837247.2015915,-55874634449.88818
DE,iitax,wtdsum,2919752332.9504924,2795352113.134631,-124400219.81586123,-55874634449.88818
FL,iitax,wtdsum,95502453501.0373,93961656367.07451,-1540797133.9627838,-55874634449.88818
GA,iitax,wtdsum,26102015380.8463,24735621788.411213,-1366393592.4350853,-55874634449.88818
HI,iitax,wtdsum,4263680862.386408,4091040831.530458,-172640030.85594988,-55874634449.88818
IA,iitax,wtdsum,6994519878.614248,6594259990.604044,-400259888.0102043,-55874634449.88818
ID,iitax,wtdsum,2842528985.7706957,2673748472.573215,-168780513.19748068,-55874634449.88818
IL,iitax,wtdsum,54705434215.05856,51987061772.299484,-2718372442.759079,-55874634449.88818
IN,iitax,wtdsum,12495513685.97079,11965346081.835957,-530167604.1348343,-55874634449.88818
KS,iitax,wtdsum,7114791390.4255295,6806023362.851648,-308768027.57388115,-55874634449.88818
KY,iitax,wtdsum,5595356517.596571,5158010351.226177,-437346166.37039375,-55874634449.88818
LA,iitax,wtdsum,7647712088.737896,7373247725.796131,-274464362.94176483,-55874634449.88818
MA,iitax,wtdsum,53654995120.13827,51318301538.07039,-2336693582.0678787,-55874634449.88818
MD,iitax,wtdsum,28777968186.204243,26955674590.448284,-1822293595.7559586,-55874634449.88818
ME,iitax,wtdsum,2645184193.624421,2459517732.043164,-185666461.58125734,-55874634449.88818
MI,iitax,wtdsum,26940033433.186882,25809952058.032486,-1130081375.154396,-55874634449.88818
MN,iitax,wtdsum,22907981718.808266,21656291426.772118,-1251690292.036148,-55874634449.88818
MO,iitax,wtdsum,13169626688.227627,12510944333.639168,-658682354.588459,-55874634449.88818
MS,iitax,wtdsum,1170767129.0493908,1040901918.0191956,-129865211.03019524,-55874634449.88818
MT,iitax,wtdsum,2245526637.793679,2134839311.9310927,-110687325.8625865,-55874634449.88818
NC,iitax,wtdsum,21843326229.457214,20658884669.086227,-1184441560.370987,-55874634449.88818
ND,iitax,wtdsum,2405725370.009165,2372282286.7302575,-33443083.2789073,-55874634449.88818
NE,iitax,wtdsum,4546329586.7444315,4277144524.758424,-269185061.9860077,-55874634449.88818
NH,iitax,wtdsum,6602835352.42524,6429319597.970947,-173515754.4542923,-55874634449.88818
NJ,iitax,wtdsum,59296222135.70886,55578010183.803444,-3718211951.9054184,-55874634449.88818
NM,iitax,wtdsum,2681596163.4164715,2577454080.1507163,-104142083.26575518,-55874634449.88818
NV,iitax,wtdsum,10889593402.848625,10741766144.568129,-147827258.2804966,-55874634449.88818
NY,iitax,wtdsum,140131997348.2068,133232260552.02945,-6899736796.177338,-55874634449.88818
OH,iitax,wtdsum,24936647655.91823,23516497569.765915,-1420150086.1523132,-55874634449.88818
OK,iitax,wtdsum,6497485530.176283,6244877634.4445,-252607895.7317829,-55874634449.88818
OR,iitax,wtdsum,12749986616.18439,11905290600.647837,-844696015.5365524,-55874634449.88818
PA,iitax,wtdsum,44363263446.063675,42381997250.04331,-1981266196.0203629,-55874634449.88818
RI,iitax,wtdsum,3661859566.8462677,3453532801.5216365,-208326765.3246312,-55874634449.88818
SC,iitax,wtdsum,8453162329.98672,7964438976.887565,-488723353.0991554,-55874634449.88818
SD,iitax,wtdsum,2194561409.4972405,2164513912.172344,-30047497.324896336,-55874634449.88818
TN,iitax,wtdsum,13631964681.404072,13431101291.024338,-200863390.37973404,-55874634449.88818
TX,iitax,wtdsum,98214129783.65077,96058310698.12967,-2155819085.521103,-55874634449.88818
UT,iitax,wtdsum,7351030230.263542,7038452952.067283,-312577278.1962595,-55874634449.88818
VA,iitax,wtdsum,36368715904.669205,34602011576.70004,-1766704327.969162,-55874634449.88818
VT,iitax,wtdsum,1721808359.9743347,1618392372.9196877,-103415987.05464697,-55874634449.88818
WA,iitax,wtdsum,38787163993.30194,38193193748.03238,-593970245.2695618,-55874634449.88818
WI,iitax,wtdsum,16213536699.811356,15292154866.37161,-921381833.439745,-55874634449.88818
WV,iitax,wtdsum,1476103317.7645192,1371668932.0545487,-104434385.70997047,-55874634449.88818
WY,iitax,wtdsum,2742637272.8953323,2719222957.930088,-23414314.965244293,-55874634449.88818
