stubnum,stub,wtdsum_base,wtdsum_reform,wtdsum_change,change_share
0,Total,1275442247754.6462,1219567613304.758,-55874634449.88818,1
1,Under $1,-8014627508.823365,-8014627508.823365,0,-0
2,$1 to < $25k,-188836511523.4503,-188849669281.3491,-13157757.898803711,2.354871406023139e-4
3,$25k < 50k,-117290003132.47946,-117404977377.2297,-114974244.75024414,0.00205771806620695
4,$50k < 75k,11047673243.568237,10609485655.328453,-438187588.23978424,0.007842334765210462
5,$75k < $100k,54839983982.75697,53929669277.54036,-910314705.2166138,0.016292092363182083
6,$100k < $200k,301915485722.28217,293969069084.1977,-7946416638.084473,0.14221867787271716
7,$200k < $500k,400486314090.6272,378795382933.43286,-21690931157.194336,0.3882071242300135
8,$500k < $1m,202858055287.2328,189124622988.57153,-13733432298.661255,0.2457901055438357
9,$1m+,618435877592.9319,607408657533.0892,-11027220059.842651,0.1973564600182314
