stname,base,reform,change,share,pchange
United States,1275442247754.6462,1219567613304.758,-55874634449.88818,1,-0.043808047403363616
California,225674193219.80328,213180339486.68655,-12493853733.11673,0.223605109118378,-0.055362350275239065
New York,140131997348.2068,133232260552.02945,-6899736796.177338,0.12348603018361484,-0.049237411346050655
New Jersey,59296222135.70886,55578010183.803444,-3718211951.9054184,0.0665456157076095,-0.0627057140907847
Illinois,54705434215.05856,51987061772.299484,-2718372442.759079,0.048651279234713976,-0.049691086119024036
Massachusetts,53654995120.13827,51318301538.07039,-2336693582.0678787,0.04182029296609662,-0.04355034562645688
Texas,98214129783.65077,96058310698.12967,-2155819085.521103,0.038583144332775446,-0.021950192811054887
Pennsylvania,44363263446.063675,42381997250.04331,-1981266196.0203629,0.03545913482077962,-0.04466006425404575
Maryland,28777968186.204243,26955674590.448284,-1822293595.7559586,0.032613968998585645,-0.06332252450781221
Virginia,36368715904.669205,34602011576.70004,-1766704327.969162,0.03161907626534275,-0.04857758334388549
Florida,95502453501.0373,93961656367.07451,-1540797133.9627838,0.02757596804225477,-0.01613358691299013
Connecticut,30593556131.430492,29086718884.2289,-1506837247.2015915,0.026968180857684466,-0.04925341927326756
Ohio,24936647655.91823,23516497569.765915,-1420150086.1523132,0.025416722635134042,-0.05695032089909921
Georgia,26102015380.8463,24735621788.411213,-1366393592.4350853,0.024454631442118003,-0.05234820271532547
Minnesota,22907981718.808266,21656291426.772118,-1251690292.036148,0.02240176252354261,-0.05463992015536078
North Carolina,21843326229.457214,20658884669.086227,-1184441560.370987,0.021198197930641805,-0.05422441380624929
Michigan,26940033433.186882,25809952058.032486,-1130081375.154396,0.020225302344804113,-0.041948031651745155
Wisconsin,16213536699.811356,15292154866.37161,-921381833.439745,0.01649016306793196,-0.05682793646437826
Oregon,12749986616.18439,11905290600.647837,-844696015.5365524,0.015117700972059655,-0.0662507374293495
Colorado,25617418418.314903,24823468404.255974,-793950014.0589294,0.01420948918728037,-0.030992584853566013
Missouri,13169626688.227627,12510944333.639168,-658682354.588459,0.01178857564033293,-0.05001526392371147
Washington,38787163993.30194,38193193748.03238,-593970245.2695618,0.010630409507238403,-0.015313577589022312
Arizona,17210336696.373505,16672623078.769548,-537713617.6039562,0.009623572894892242,-0.031243643113458737
Indiana,12495513685.97079,11965346081.835957,-530167604.1348343,0.00948852031614312,-0.04242863618564753
South Carolina,8453162329.98672,7964438976.887565,-488723353.0991554,0.008746783901333129,-0.05781544634076881
Kentucky,5595356517.596571,5158010351.226177,-437346166.37039375,0.007827275662315657,-0.07816234139772946
Iowa,6994519878.614248,6594259990.604044,-400259888.0102043,0.007163534794472473,-0.057224783824548035
Utah,7351030230.263542,7038452952.067283,-312577278.1962595,0.005594260817519944,-0.04252156070715183
Kansas,7114791390.4255295,6806023362.851648,-308768027.57388115,0.005526085863716985,-0.043398043685355894
Louisiana,7647712088.737896,7373247725.796131,-274464362.94176483,0.004912146014806082,-0.035888427775143894
Nebraska,4546329586.7444315,4277144524.758424,-269185061.9860077,0.004817661263223645,-0.059209315305881215
Oklahoma,6497485530.176283,6244877634.4445,-252607895.7317829,0.004520976257273544,-0.038877792733603735
Alabama,6439665110.680139,6215193248.79139,-224471861.88874817,0.004017419784465317,-0.034857691825691865
Arkansas,4637982042.318436,4422216486.61376,-215765555.70467567,0.003861601204714592,-0.046521429737321436
Rhode Island,3661859566.8462677,3453532801.5216365,-208326765.3246312,0.0037284676199800734,-0.05689097616161456
Tennessee,13631964681.404072,13431101291.024338,-200863390.37973404,0.0035948940401548525,-0.014734735239868992
Maine,2645184193.624421,2459517732.043164,-185666461.58125734,0.0033229114321593365,-0.07019037163036192
New Hampshire,6602835352.42524,6429319597.970947,-173515754.4542923,0.003105447689504115,-0.02627897640830306
Hawaii,4263680862.386408,4091040831.530458,-172640030.85594988,0.0030897746814036718,-0.04049084263762701
Idaho,2842528985.7706957,2673748472.573215,-168780513.19748068,0.0030207000879594738,-0.05937688376877507
Nevada,10889593402.848625,10741766144.568129,-147827258.2804966,0.0026456953094355757,-0.013575094387071076
Mississippi,1170767129.0493908,1040901918.0191956,-129865211.03019524,0.0023242247991200077,-0.11092317832295123
Delaware,2919752332.9504924,2795352113.134631,-124400219.81586123,0.0022264167102056124,-0.042606428775467844
Montana,2245526637.793679,2134839311.9310927,-110687325.8625865,0.0019809941837177964,-0.049292368213160576
West Virginia,1476103317.7645192,1371668932.0545487,-104434385.70997047,0.0018690840081223917,-0.07075005147209537
New Mexico,2681596163.4164715,2577454080.1507163,-104142083.26575518,0.0018638526102422418,-0.03883585630323754
Vermont,1721808359.9743347,1618392372.9196877,-103415987.05464697,0.0018508575147350055,-0.06006242591143447
North Dakota,2405725370.009165,2372282286.7302575,-33443083.2789073,5.98537844733483e-4,-0.013901455126933252
South Dakota,2194561409.4972405,2164513912.172344,-30047497.324896336,5.377663338781175e-4,-0.013691800646298623
Wyoming,2742637272.8953323,2719222957.930088,-23414314.965244293,4.1905088410455185e-4,-0.008537153343842073
Alaska,2323619972.8408585,2310656580.251356,-12963392.589502335,2.3200854407609062e-4,-0.005578964177026456
