stname,base,reform,change,share,pchange
United States,1266706821903.9243,1210832187454.0361,-55874634449.88818,1,-0.04411015515484932
California,224693004036.417,212199150303.3003,-12493853733.1167,0.22360510911837744,-0.05560410653057878
New York,139642988500.8283,132743251704.65094,-6899736796.177368,0.12348603018361538,-0.04940983339193175
New Jersey,59076700823.419266,55358488871.513855,-3718211951.905411,0.06654561570760938,-0.06293872034288402
Illinois,54364637120.209305,51646264677.450226,-2718372442.759079,0.048651279234713976,-0.05000258599626634
Massachusetts,53501576025.86913,51164882443.80127,-2336693582.0678635,0.04182029296609635,-0.04367522894910653
Texas,97387587350.52542,95231768265.0043,-2155819085.521118,0.038583144332775716,-0.022136487248233357
Pennsylvania,44039071667.51695,42057805471.49658,-1981266196.0203705,0.03545913482077976,-0.044988827443466405
Maryland,28625454046.356323,26803160450.600365,-1822293595.7559586,0.032613968998585645,-0.06365990187631328
Virginia,36149376599.07604,34382672271.10687,-1766704327.9691696,0.03161907626534289,-0.04887233181261349
Florida,94910805690.50226,93370008556.53946,-1540797133.962799,0.02757596804225504,-0.016234159248286594
Connecticut,30510083282.59749,29003246035.395897,-1506837247.2015915,0.026968180857684466,-0.04938817220669698
Ohio,24604715681.06368,23184565594.91137,-1420150086.1523094,0.025416722635133972,-0.0577186139665612
Georgia,25794649025.200256,24428255432.765175,-1366393592.4350815,0.024454631442117934,-0.05297197845569343
Minnesota,22766213219.2817,21514522927.24555,-1251690292.036152,0.02240176252354268,-0.05498017083385834
North Carolina,21548708608.766792,20364267048.395805,-1184441560.370987,0.021198197930641805,-0.05496577924345375
Michigan,26685144464.553165,25555063089.39877,-1130081375.154396,0.020225302344804113,-0.04234870741117867
Wisconsin,16065471281.121479,15144089447.681734,-921381833.439745,0.01649016306793196,-0.05735168407555276
Oregon,12646463122.48999,11801767106.953442,-844696015.5365486,0.015117700972059585,-0.06679306359059184
Colorado,25474177561.242012,24680227547.183086,-793950014.0589256,0.014209489187280303,-0.03116685561880083
Missouri,13004452215.651352,12345769861.06289,-658682354.5884628,0.011788575640333,-0.050650526732353526
Washington,38603505403.26214,38009535157.99258,-593970245.2695618,0.010630409507238403,-0.015386432891645355
Arizona,17026957046.526651,16489243428.922691,-537713617.60396,0.00962357289489231,-0.031580135906529985
Indiana,12307195011.567095,11777027407.43226,-530167604.1348343,0.00948852031614312,-0.043077858410185965
South Carolina,8306602694.035244,7817879340.936091,-488723353.09915257,0.008746783901333079,-0.05883552772423943
Kentucky,5469432786.583836,5032086620.213443,-437346166.3703928,0.00782727566231564,-0.07996188698820372
Iowa,6913297344.095495,6513037456.085291,-400259888.0102043,0.007163534794472473,-0.0578971029435119
Utah,7263251233.170398,6950673954.974136,-312577278.1962614,0.005594260817519978,-0.043035449024365076
Kansas,7037838922.04587,6729070894.471988,-308768027.5738821,0.0055260858637170025,-0.043872562443376374
Louisiana,7510608455.892569,7236144092.950803,-274464362.9417658,0.004912146014806098,-0.036543558961115906
Nebraska,4494031616.067149,4224846554.081141,-269185061.98600817,0.004817661263223654,-0.059898346291915816
Oklahoma,6389185192.424287,6136577296.692506,-252607895.731781,0.00452097625727351,-0.039536793522795426
Alabama,6295249153.343005,6070777291.454257,-224471861.88874817,0.004017419784465317,-0.035657343565114574
Arkansas,4551309440.102848,4335543884.398171,-215765555.70467663,0.0038616012047146095,-0.04740735793604947
Rhode Island,3634754946.2047415,3426428180.88011,-208326765.3246317,0.003728467619980082,-0.05731521613091352
Tennessee,13435787321.571146,13234923931.19141,-200863390.37973595,0.0035948940401548867,-0.014949878676424859
Maine,2609982482.213863,2424316020.6326056,-185666461.58125734,0.0033229114321593365,-0.0711370527758369
New Hampshire,6569077212.782302,6395561458.32801,-173515754.4542923,0.003105447689504115,-0.02641402267530975
Hawaii,4228700566.8985243,4056060536.042574,-172640030.85595036,0.00308977468140368,-0.04082578752615973
Idaho,2793580792.492581,2624800279.2951007,-168780513.1974802,0.003020700087959465,-0.06041726577268069
Nevada,10805371298.073507,10657544039.793013,-147827258.2804947,0.0026456953094355414,-0.013680905005721632
Mississippi,1077465941.7588844,947600730.7286892,-129865211.03019524,0.0023242247991200077,-0.12052836753076368
Delaware,2894700013.864951,2770299794.0490894,-124400219.8158617,0.002226416710205621,-0.04297516814178087
Montana,2218274198.9989433,2107586873.136357,-110687325.86258626,0.001980994183717792,-0.049897945850218575
West Virginia,1428353969.3443198,1323919583.6343493,-104434385.70997047,0.0018690840081223917,-0.0731151996993509
New Mexico,2625706979.9463673,2521564896.680612,-104142083.26575518,0.0018638526102422418,-0.0396624924491317
Vermont,1706131685.4577336,1602715698.4030871,-103415987.05464649,0.001850857514734997,-0.06061430541154347
North Dakota,2387027146.395776,2353584063.1168685,-33443083.2789073,5.98537844733483e-4,-0.014010348952002384
South Dakota,2171790961.7657614,2141743464.440865,-30047497.324896336,5.377663338781175e-4,-0.013835354255488016
Wyoming,2727460239.1002545,2704045924.1350102,-23414314.965244293,4.1905088410455185e-4,-0.00858465858808204
Alaska,2305605490.931345,2292642098.3418417,-12963392.589503288,2.320085440761077e-4,-0.005622554526562456
