stabbr,variable,measure,base,reform,change,valgroup,valnum,vlabs
AK,iitax,avgval,14531.851221715911,14471.19603851622,60.65518319969124,"[-Inf,200)",1,< $200
AL,iitax,avgval,13751.377708383676,13524.53506524891,226.84264313476524,"[200,500)",2,$200 < $500
AR,iitax,avgval,15749.590335874112,15374.633104660998,374.95723121311494,"[200,500)",2,$200 < $500
AZ,iitax,avgval,16274.281887059991,15940.454808276818,333.8270787831734,"[200,500)",2,$200 < $500
CA,iitax,avgval,26154.321385155978,24965.43463953209,1188.8867456238877,"[1e+03, Inf)",4,">= $1,000"
CO,iitax,avgval,19344.52419400239,18863.579315357394,480.9448786449975,"[200,500)",2,$200 < $500
CT,iitax,avgval,30817.690358115513,29477.938427108635,1339.7519310068783,"[1e+03, Inf)",4,">= $1,000"
DE,iitax,avgval,14991.47903354305,14534.983547285068,456.4954862579816,"[200,500)",2,$200 < $500
FL,iitax,avgval,24479.69459613754,24183.034664682327,296.65993145521134,"[200,500)",2,$200 < $500
GA,iitax,avgval,18148.57981280925,17550.7719458126,597.807866996649,"[500,1e+03)",3,"$500 < $1,000"
HI,iitax,avgval,14239.822944574873,13823.01898867927,416.8039558956025,"[200,500)",2,$200 < $500
IA,iitax,avgval,12623.544296693208,12152.294410496645,471.24988619656324,"[200,500)",2,$200 < $500
ID,iitax,avgval,13491.36454904376,13053.440323278874,437.9242257648857,"[200,500)",2,$200 < $500
IL,iitax,avgval,20027.72736023769,19265.622136843976,762.1052233937153,"[500,1e+03)",3,"$500 < $1,000"
IN,iitax,avgval,12862.87559995532,12544.066894420172,318.80870553514796,"[200,500)",2,$200 < $500
KS,iitax,avgval,14665.511783081774,14244.149336122946,421.3624469588285,"[200,500)",2,$200 < $500
KY,iitax,avgval,12193.570306485313,11743.793579658603,449.77672682671073,"[200,500)",2,$200 < $500
LA,iitax,avgval,14975.780575770435,14691.23372438232,284.5468513881151,"[200,500)",2,$200 < $500
MA,iitax,avgval,26716.31040608193,25688.76651213085,1027.5438939510823,"[1e+03, Inf)",4,">= $1,000"
MD,iitax,avgval,19105.969918296763,18134.788763600318,971.1811546964454,"[500,1e+03)",3,"$500 < $1,000"
ME,iitax,avgval,11949.534015685676,11446.079563335341,503.4544523503355,"[500,1e+03)",3,"$500 < $1,000"
MI,iitax,avgval,15095.67714790948,14664.06952644632,431.6076214631612,"[200,500)",2,$200 < $500
MN,iitax,avgval,16827.027872475643,16101.558956121671,725.4689163539715,"[500,1e+03)",3,"$500 < $1,000"
MO,iitax,avgval,14231.105451966674,13790.033846972325,441.0716049943494,"[200,500)",2,$200 < $500
MS,iitax,avgval,11106.891841780474,10867.507871825686,239.38396995478797,"[200,500)",2,$200 < $500
MT,iitax,avgval,13261.8621018749,12855.643078084107,406.21902379079256,"[200,500)",2,$200 < $500
NC,iitax,avgval,15521.453996634737,15017.078722513275,504.3752741214612,"[500,1e+03)",3,"$500 < $1,000"
ND,iitax,avgval,14330.427374228375,14180.218220006147,150.20915422222788,"[-Inf,200)",1,< $200
NE,iitax,avgval,13615.755079111259,13091.370664953918,524.3844141573409,"[500,1e+03)",3,"$500 < $1,000"
NH,iitax,avgval,17905.826230926254,17524.007208532257,381.8190223939964,"[200,500)",2,$200 < $500
NJ,iitax,avgval,25179.133501664008,23840.894376186996,1338.2391254770118,"[1e+03, Inf)",4,">= $1,000"
NM,iitax,avgval,12285.94877351291,12057.601583661095,228.34718985181462,"[200,500)",2,$200 < $500
NV,iitax,avgval,19701.287088517507,19507.627527118682,193.65956139882474,"[-Inf,200)",1,< $200
NY,iitax,avgval,29298.505587179337,28085.532113029974,1212.973474149363,"[1e+03, Inf)",4,">= $1,000"
OH,iitax,avgval,13306.07369121699,12844.155510940656,461.91818027633417,"[200,500)",2,$200 < $500
OK,iitax,avgval,14541.210892694628,14229.76970308942,311.4411896052079,"[200,500)",2,$200 < $500
OR,iitax,avgval,15794.863835601132,15046.90118421708,747.9626513840522,"[500,1e+03)",3,"$500 < $1,000"
PA,iitax,avgval,16517.81991533975,15972.312442012166,545.5074733275851,"[500,1e+03)",3,"$500 < $1,000"
RI,iitax,avgval,15462.786217851595,14817.617086783419,645.1691310681763,"[500,1e+03)",3,"$500 < $1,000"
SC,iitax,avgval,14034.173234610518,13600.370534648795,433.8026999617232,"[200,500)",2,$200 < $500
SD,iitax,avgval,13900.456571372544,13772.571180159075,127.88539121346912,"[-Inf,200)",1,< $200
TN,iitax,avgval,15411.00348331473,15278.767293887797,132.23618942693247,"[-Inf,200)",1,< $200
TX,iitax,avgval,21419.752009098593,21088.88259920436,330.8694098942324,"[200,500)",2,$200 < $500
UT,iitax,avgval,15730.783706248849,15292.013535512506,438.77017073634306,"[200,500)",2,$200 < $500
VA,iitax,avgval,19434.09224817113,18693.707599554193,740.3846486169386,"[500,1e+03)",3,"$500 < $1,000"
VT,iitax,avgval,12941.99162634223,12406.752811610753,535.2388147314759,"[500,1e+03)",3,"$500 < $1,000"
WA,iitax,avgval,20843.986212702428,20580.38517596334,263.60103673908816,"[200,500)",2,$200 < $500
WI,iitax,avgval,13604.657568221932,13063.742889122766,540.9146790991654,"[500,1e+03)",3,"$500 < $1,000"
WV,iitax,avgval,10220.918996329632,9944.870902058283,276.0480942713493,"[200,500)",2,$200 < $500
WY,iitax,avgval,21863.019775554192,21712.748865923128,150.27090963106457,"[-Inf,200)",1,< $200
